Time,Z_raw,Forward_m_raw,Forward_m_Calibrated,L1,L2,L3,L4,Avg_DM
2026-06-30 05:33:28,3.788,3.218,3.070,3.742,3.696,3.765,3.812,3.742
2026-06-30 05:34:14,3.765,3.201,3.056,3.765,3.696,3.765,3.788,3.765
2026-06-30 05:34:19,3.742,3.169,3.032,3.742,3.674,3.765,3.788,3.742
2026-06-30 05:34:23,3.765,3.194,3.051,3.788,3.674,3.765,3.788,3.765
2026-06-30 05:34:27,3.788,3.225,3.075,3.788,3.696,3.765,3.836,3.742
2026-06-30 05:34:31,3.765,3.203,3.058,3.696,3.651,3.765,3.742,3.696
2026-06-30 05:34:36,3.788,3.228,3.078,3.719,3.696,3.765,3.812,3.742
2026-06-30 05:34:40,3.765,3.208,3.062,3.742,3.674,3.765,3.812,3.765
2026-06-30 05:34:46,3.765,3.178,3.039,3.742,3.674,3.754,3.765,3.742
2026-06-30 05:34:56,3.788,3.215,3.067,3.742,3.696,3.788,3.696,3.742
2026-06-30 05:35:19,4.490,3.947,3.616,4.457,4.299,4.457,4.592,4.490
2026-06-30 05:35:24,4.490,3.948,3.617,4.457,4.209,4.424,4.592,4.457
2026-06-30 05:35:28,4.557,4.008,3.660,4.523,4.361,4.490,4.627,4.523
2026-06-30 05:35:39,4.557,4.004,3.658,4.523,4.269,4.441,4.610,4.457
2026-06-30 05:35:43,4.523,3.971,3.634,4.592,4.299,4.424,4.610,4.557
2026-06-30 05:35:47,4.490,3.960,3.626,4.457,4.330,4.457,4.557,4.457
2026-06-30 05:35:51,4.457,3.939,3.611,4.361,4.269,4.392,4.557,4.361
2026-06-30 05:35:55,4.523,3.974,3.636,4.490,4.424,4.490,4.663,4.457
2026-06-30 05:35:59,4.490,3.968,3.631,4.457,4.330,4.424,4.575,4.457
2026-06-30 05:36:12,4.523,3.981,3.641,4.490,4.361,4.457,4.592,4.490
2026-06-30 05:36:27,4.968,4.461,3.974,4.888,4.888,4.968,5.094,4.928
2026-06-30 05:36:33,4.968,4.444,3.963,4.968,4.849,4.968,5.009,4.948
2026-06-30 05:36:37,4.888,4.406,3.937,4.928,4.888,4.888,5.116,4.928
2026-06-30 05:36:41,4.968,4.446,3.964,4.888,4.888,4.968,5.181,4.928
2026-06-30 05:36:44,4.928,4.443,3.962,4.968,4.888,4.928,5.051,5.009
2026-06-30 05:36:48,4.968,4.445,3.963,4.928,4.849,4.968,5.051,4.928
2026-06-30 05:36:52,4.888,4.408,3.939,4.849,4.849,4.888,4.928,4.849
2026-06-30 05:36:55,4.968,4.472,3.982,4.928,4.888,4.968,5.094,4.888
2026-06-30 05:36:59,4.928,4.435,3.957,5.009,4.928,4.928,5.181,5.009
2026-06-30 05:37:03,5.009,4.494,3.996,5.009,4.888,5.009,5.225,5.009
2026-06-30 05:37:20,5.828,5.330,4.528,5.885,5.718,5.828,5.943,5.828
2026-06-30 05:37:24,5.885,5.370,4.552,5.773,5.828,5.437,5.885,5.773
2026-06-30 05:37:28,5.828,5.309,4.515,5.885,5.773,5.828,5.943,5.828
2026-06-30 05:37:32,5.828,5.317,4.520,5.718,5.718,5.561,5.885,5.718
2026-06-30 05:37:35,5.885,5.391,4.565,5.885,5.828,5.885,5.885,5.885
2026-06-30 05:37:39,5.885,5.392,4.565,5.885,5.828,5.885,5.943,5.885
2026-06-30 05:37:43,5.885,5.363,4.548,5.885,5.828,5.885,5.828,5.885
2026-06-30 05:37:47,5.885,5.373,4.554,5.828,5.828,5.561,5.943,5.828
2026-06-30 05:37:50,5.828,5.337,4.532,5.943,5.773,5.828,5.773,5.885
2026-06-30 05:38:00,5.828,5.319,4.522,5.885,5.773,5.828,5.885,5.885
2026-06-30 05:38:52,5.225,4.860,4.237,5.181,4.123,5.137,5.225,5.271
